# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,,,,WATER QUALITY DATA OF GROUND WATER UNDER NWMP - 2022,,,,,,,,,,,,,,,,,
Stati,"Name of Monitoring Location State Name ",Temperature,,"pH ",,Conductivity,,"BOD (mg/L) ",,,Nitrate-N +,Fecal Coliform,,Total Coliform,,Total Dissolved,,"Fluoride (mg/L) ",,Arsenic (mg/L),,
on,,o,,,,,,,,,,,,,,,,,,,,
,,(C),,,,,(μmhos/cm),,,,Nitrite-N,(MPN/100ml),,(MPN/100ml),,,Solids (mg/L),,,,,
Code,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,(mg/L),,,,,,,,,,,
,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max,
,BORE WELL AT KANURUANDHRA,,,,,,,,,,,,,,,,,,,,,
"26 ",,"24 ","24 ","7.28 ","7.4 ","2300 ","2390 ","2.2 ","2.4 ","3.15 ","3.77 ","3 ","3 ","11 ","21 ","1356 ","1480 ","0.38 ","0.44 ","BDL ",BDL,
,"PANCHAYAT, VIJAYAWADAPRADESH ",,,,,,,,,,,,,,,,,,,,,
,"BORE WELL AT AUTONAGAR,",,,,,,,,,,,,,,,,,,,,,
,VIJAYAWADA.( IN THE R/O OF,,,,,,,,,,,,,,,,,,,,,
,ANDHRA,,,,,,,,,,,,,,,,,,,,,
1513,MR SATYANARAYANA PLOT,"24 ","24 ","7.07 ","7.86 ","2140 ","2210 ","2.2 ","2.2 ","1.38 ","3.42 ","3 ","4 ","13 ","20 ","1260 ","1328 ","0.32 ","0.36 ","BDL ",BDL,
,"PRADESH ",,,,,,,,,,,,,,,,,,,,,
,"NO:79 H.NO:74-1-7/2C,AUTO",,,,,,,,,,,,,,,,,,,,,
,NAGAR VIJAYAWADA),,,,,,,,,,,,,,,,,,,,,
,"BORE WELL AT AUTONAGAR,",,,,,,,,,,,,,,,,,,,,,
,VIJAYAWADA.ANDHRA,,,,,,,,,,,,,,,,,,,,,
1514,,"25 ","25 ","7.21 ","7.26 ","1996 ","2160 ","2 ","2.2 ","3.61 ","3.99 ","3 ","3 ","11 ","15 ","1178 ","1260 ","0.68 ","0.71 ","0.0019 ",0.0019,
,"( IN THE R/O OF MR. VIJAYPRADESH ",,,,,,,,,,,,,,,,,,,,,
,KUMAR),,,,,,,,,,,,,,,,,,,,,
,BOREWELL OF NAVLOKANDHRA,,,,,,,,,,,,,,,,,,,,,
"1516 ",,"20 ","21 ","7.85 ","8.06 ","1270 ","1340 ","1.8 ","2 ","1.31 ","1.43 ","3 ","3 ","14 ","15 ","750 ","790 ","0.26 ","0.3 ","0.0027 ",0.0027,
,"GARDENS, NELLORE TOWNPRADESH ",,,,,,,,,,,,,,,,,,,,,
,BOREWELL NEAR TUNGBHADRA,,,,,,,,,,,,,,,,,,,,,
,ANDHRA,,,,,,,,,,,,,,,,,,,,,
1517,"RIVER, MAMIDALAPADU (V),","21 ","24 ","7.2 ","7.5 ","2068 ","6410 ","1.2 ","1.2 ","3.12 ","6.91 ","9 ","9 ","53 ","53 ","1349 ","3846 ","0.5 ","1.2 ","BDL ",BDL,
,"PRADESH ",,,,,,,,,,,,,,,,,,,,,
,KURNOOL (M),,,,,,,,,,,,,,,,,,,,,
